qHawaxID,timestamp,idPollutant,Value
38,"2021-04-19 23:00:00",7,7.338
38,"2021-04-20 03:00:00",1,2965.34
38,"2021-04-20 03:00:00",2,12.776
38,"2021-04-20 03:00:00",3,82.814
38,"2021-04-20 03:00:00",4,58.678
38,"2021-04-20 03:00:00",5,72.011
38,"2021-04-20 03:00:00",6,20.352
38,"2021-04-20 03:00:00",7,6.152
38,"2021-04-20 19:00:00",1,3160.875
38,"2021-04-20 19:00:00",2,11.726
38,"2021-04-20 19:00:00",3,37.59
38,"2021-04-20 19:00:00",4,40.9
38,"2021-04-20 19:00:00",5,32.611
38,"2021-04-20 19:00:00",6,8.831
38,"2021-04-20 19:00:00",7,4.24
38,"2021-04-25 22:00:00",1,2399.609
38,"2021-04-25 22:00:00",2,5.755
38,"2021-04-25 22:00:00",3,61.472
38,"2021-04-25 22:00:00",4,44.55
38,"2021-04-25 22:00:00",5,20.622
38,"2021-04-25 22:00:00",6,6.352
38,"2021-04-25 22:00:00",7,8.567
39,"2021-04-19 14:00:00",1,2474.351
39,"2021-04-19 14:00:00",2,11.305
39,"2021-04-19 14:00:00",3,40.569
39,"2021-04-19 14:00:00",4,50.849
39,"2021-04-19 14:00:00",5,85.093
39,"2021-04-19 14:00:00",6,27.868
39,"2021-04-19 14:00:00",7,6.608
39,"2021-04-19 15:00:00",1,1564.99
39,"2021-04-19 15:00:00",2,7.42
39,"2021-04-19 15:00:00",3,36.582
39,"2021-04-19 15:00:00",4,55.725
39,"2021-04-19 15:00:00",5,64.473
39,"2021-04-19 15:00:00",6,24.184
39,"2021-04-19 15:00:00",7,9.215
39,"2021-04-19 17:00:00",1,1079.525
39,"2021-04-19 17:00:00",2,5.268
39,"2021-04-19 17:00:00",3,50.345
39,"2021-04-19 17:00:00",4,64.232
39,"2021-04-19 17:00:00",5,45.395
39,"2021-04-19 17:00:00",6,20.113
39,"2021-04-19 17:00:00",7,13.408
39,"2021-04-19 23:00:00",1,1922.011
39,"2021-04-19 23:00:00",2,20.079
39,"2021-04-19 23:00:00",3,72.19
39,"2021-04-19 23:00:00",4,67.88
39,"2021-04-19 23:00:00",5,66.99
39,"2021-04-19 23:00:00",6,19.183
39,"2021-04-19 23:00:00",7,5.864
39,"2021-04-20 00:00:00",1,3758.529
39,"2021-04-20 00:00:00",2,24.895
39,"2021-04-20 00:00:00",3,75.825
39,"2021-04-20 00:00:00",4,63.87
39,"2021-04-20 00:00:00",5,70.152
39,"2021-04-20 00:00:00",6,21.696
39,"2021-04-20 00:00:00",7,3.477
39,"2021-04-20 03:00:00",1,1683.781
39,"2021-04-20 03:00:00",2,20.609
39,"2021-04-20 03:00:00",3,77.634
39,"2021-04-20 03:00:00",4,75.408
39,"2021-04-20 03:00:00",5,78.363
39,"2021-04-20 03:00:00",6,21.795
39,"2021-04-20 03:00:00",7,6.437
39,"2021-04-20 19:00:00",1,1384.668
39,"2021-04-20 19:00:00",2,9.878
39,"2021-04-20 19:00:00",3,53.888
39,"2021-04-20 19:00:00",4,69.696
39,"2021-04-20 19:00:00",5,30.91
39,"2021-04-20 19:00:00",6,10.1
39,"2021-04-20 19:00:00",7,8.723
39,"2021-04-25 22:00:00",1,327.104
39,"2021-04-25 22:00:00",2,10.36
39,"2021-04-25 22:00:00",3,65.316
39,"2021-04-25 22:00:00",4,76.886
39,"2021-04-25 22:00:00",5,17.054
39,"2021-04-25 22:00:00",6,6.584
39,"2021-04-25 22:00:00",7,10.5
40,"2021-04-19 14:00:00",1,1409.651
40,"2021-04-19 14:00:00",2,16.95
40,"2021-04-19 14:00:00",3,59.351
40,"2021-04-19 14:00:00",4,54.989
40,"2021-04-19 14:00:00",5,58.379
40,"2021-04-19 14:00:00",6,24.798
40,"2021-04-19 14:00:00",7,15.211
40,"2021-04-19 15:00:00",1,1125.26
40,"2021-04-19 15:00:00",2,12.554
40,"2021-04-19 15:00:00",3,53.995
40,"2021-04-19 15:00:00",4,50.069
40,"2021-04-19 15:00:00",5,46.615
40,"2021-04-19 15:00:00",6,22.073
40,"2021-04-19 15:00:00",7,15.631
40,"2021-04-19 17:00:00",1,1012.197
40,"2021-04-19 17:00:00",2,10.047
40,"2021-04-19 17:00:00",3,60.39
40,"2021-04-19 17:00:00",4,85.843
40,"2021-04-19 17:00:00",5,37.034
40,"2021-04-19 17:00:00",6,20.322
40,"2021-04-19 17:00:00",7,16.304
40,"2021-04-19 23:00:00",1,1419.421
40,"2021-04-19 23:00:00",2,19.86
40,"2021-04-19 23:00:00",3,74.789
40,"2021-04-19 23:00:00",4,62.606
40,"2021-04-19 23:00:00",5,49.455
40,"2021-04-19 23:00:00",6,18.87
40,"2021-04-19 23:00:00",7,15.15
40,"2021-04-20 00:00:00",1,1475.727
40,"2021-04-20 00:00:00",2,18.188
40,"2021-04-20 00:00:00",3,79.754
40,"2021-04-20 00:00:00",4,65.497
40,"2021-04-20 00:00:00",5,47.079
40,"2021-04-20 00:00:00",6,18.939
40,"2021-04-20 00:00:00",7,15.301
40,"2021-04-20 03:00:00",1,1147.664
40,"2021-04-20 03:00:00",2,10.477
40,"2021-04-20 03:00:00",3,67.781
40,"2021-04-20 03:00:00",4,58.786
40,"2021-04-20 03:00:00",5,46.435
40,"2021-04-20 03:00:00",6,13.864
40,"2021-04-20 03:00:00",7,16.66
40,"2021-04-20 19:00:00",1,1458.048
40,"2021-04-20 19:00:00",2,11.334
40,"2021-04-20 19:00:00",3,43.633
40,"2021-04-20 19:00:00",4,58.48
40,"2021-04-20 19:00:00",5,24.699
40,"2021-04-20 19:00:00",6,7.826
40,"2021-04-20 19:00:00",7,13.586
40,"2021-04-25 22:00:00",1,217.601
40,"2021-04-25 22:00:00",2,4.341
40,"2021-04-25 22:00:00",3,56.156
40,"2021-04-25 22:00:00",4,48.78
40,"2021-04-25 22:00:00",5,11.611
40,"2021-04-25 22:00:00",6,3.364
40,"2021-04-25 22:00:00",7,16.962
41,"2021-04-19 14:00:00",1,758.944
41,"2021-04-19 14:00:00",2,19.414
41,"2021-04-19 14:00:00",3,59.818
41,"2021-04-19 14:00:00",4,29.006
41,"2021-04-19 14:00:00",5,124.489
41,"2021-04-19 14:00:00",6,35.603
41,"2021-04-19 14:00:00",7,14.299
41,"2021-04-19 15:00:00",1,453.377
41,"2021-04-19 15:00:00",2,16.802
41,"2021-04-19 15:00:00",3,62.836
41,"2021-04-19 15:00:00",4,8.042
41,"2021-04-19 15:00:00",5,104.303
41,"2021-04-19 15:00:00",6,29.037
41,"2021-04-19 15:00:00",7,12.6
41,"2021-04-19 17:00:00",1,433.835
41,"2021-04-19 17:00:00",2,16.721
41,"2021-04-19 17:00:00",3,67.503
41,"2021-04-19 17:00:00",4,31.757
41,"2021-04-19 17:00:00",5,86.52
41,"2021-04-19 17:00:00",6,24.452
41,"2021-04-19 17:00:00",7,12.699
41,"2021-04-19 23:00:00",1,542.395
41,"2021-04-19 23:00:00",2,21.659
41,"2021-04-19 23:00:00",3,78.731
41,"2021-04-19 23:00:00",4,61.961
41,"2021-04-19 23:00:00",5,115.537
41,"2021-04-19 23:00:00",6,31.957
41,"2021-04-19 23:00:00",7,12.967
41,"2021-04-20 00:00:00",1,610.362
41,"2021-04-20 00:00:00",2,21.785
41,"2021-04-20 00:00:00",3,79.911
41,"2021-04-20 00:00:00",4,68.571
41,"2021-04-20 00:00:00",5,99.136
41,"2021-04-20 00:00:00",6,24.167
41,"2021-04-20 00:00:00",7,12.693
41,"2021-04-20 03:00:00",1,602.705
41,"2021-04-20 03:00:00",2,12.629
41,"2021-04-20 03:00:00",3,80.423
41,"2021-04-20 03:00:00",4,39.301
41,"2021-04-20 03:00:00",5,92.553
41,"2021-04-20 03:00:00",6,25.412
41,"2021-04-20 03:00:00",7,9.555
41,"2021-04-20 19:00:00",1,626.257
41,"2021-04-20 19:00:00",2,8.977
41,"2021-04-20 19:00:00",3,72.785
41,"2021-04-20 19:00:00",4,28.506
41,"2021-04-20 19:00:00",5,134.004
41,"2021-04-20 19:00:00",6,23.283
41,"2021-04-20 19:00:00",7,13.249
41,"2021-04-25 22:00:00",1,344.623
41,"2021-04-25 22:00:00",2,9.738
41,"2021-04-25 22:00:00",3,75.165
41,"2021-04-25 22:00:00",4,39.449
41,"2021-04-25 22:00:00",5,40.953
41,"2021-04-25 22:00:00",6,12.576
41,"2021-04-25 22:00:00",7,10.974
42,"2021-04-19 14:00:00",1,6764.763
42,"2021-04-19 14:00:00",2,18.003
42,"2021-04-19 14:00:00",3,41.165
42,"2021-04-19 14:00:00",4,28.326
42,"2021-04-19 14:00:00",5,90.628
42,"2021-04-19 14:00:00",6,37.981
42,"2021-04-19 14:00:00",7,3.953
